# Where each function name came from and why. One row per applied name (tools: names
# pipeline, see docs/style.md "Names"). T1 verified, T2 strong, T3 provisional (the name
# keeps its address). codes: E1 EA text, E2 TW06 name confirmed, E3 wrapper, E4 named
# data, E5 role from named neighbours.
address	name	tier	codes	evidence	purpose	proposed_by	reviewed_by	date
800125BC	UFont_LoadFontFromStream	T2	E1+E3	renamed from UFont_LoadFontStream: house form is Load...FromStream (FO_spLoadFontFromStream, GameModeDriverPGATour_LoadPGAcFromStream). UFont_Init registers it with UStream_RegisterHandler('sfn ', fn_800125BC); body calls UFont_LoadFont (FO_spLoadFontFromStream into apFonts) with the object's id and data, then frees the object	The 'sfn ' stream handler: loads the font into the slot its id names (bit 0x80 is read as a flag but unused), then frees the stream object	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
8001260C	UFont_Init	T2	E4+E5	renamed from UFont_InitModule: ruling, house style is _Init. Registers the 'sfn ' handler, allocates pQueuePool (50 UFontContexts) and pStrings (0x1F4 bytes) with assert text "UFont.c", resets queues and settings, clears apFonts[0..5] (named fields); called once, from gomainloop's startup fn_8006C7A8	Sets up UFont: registers the font stream loader, allocates the queue and text pools, resets the queues and text settings, and empties all six font slots	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
800126C0	UFont_Shutdown	T2	E3+E4+E5	renamed from UFont_ShutdownModule: ruling, house style is _Shutdown. Frees every non-NULL apFonts[i] with fn_800111A4 (LLFont.c:234: frees the font's data, then the block), then fn_80009E70 on pQueuePool and pStrings (what UFont_Init allocates); called once, from gomainloop fn_8006C854	Frees every loaded font and both pools UFont_Init allocated	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
8001273C	UFont_ResetContext	T2	E4	sets draw mode 0 (UFont_SetMode) and every field of the current UFontContext (UFont_GetContext) to fixed defaults, incl. nFont 0 (named field); callers UFont_Init and uiProcessInterface	Resets the current text settings to their defaults (queued mode, font 0, scales 1.0, flags and gradient off)	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
800127D8	UFont_LoadFont	T1	E3+E4	body is only apFonts[uSlot] = FO_spLoadFontFromStream(pData, lbl_80280DE0) (named loader, named field); also called from uiLoadFile fn_8008EFFC	Loads a font from stream data into the given slot	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012820	UFont_FreeFont	T2	E3+E4	body is fn_800111A4(apFonts[nSlot]) (LLFont.c:234, frees the font's data then its block; checked) then apFonts[nSlot] = NULL ("NULL: a free slot"); caller uiLoadFile	Frees the font in the given slot and marks the slot free	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012868	UFont_SetFont	T2	E4	writes UFontContext.nFont of the current settings; checked: UFont_DrawString draws with apFonts[pCtx->nFont]	Sets the font slot the next strings are drawn with	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012898	UFont_SetMode_80012898	T3	E4	T3 because placeholder field n1B8; "mode" read from one switch. writes UFontState.n1B8; its header comment cites fn_800128F8 and holds (checked: UFont_DrawString switches on it, case 0 queues, case 1 draws at once)	Sets the draw mode: 0 queues strings for UFont_DrawQueue, 1 draws them at once	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
800128A4	UFont_GetMode_800128A4	T3	E4	T3 because placeholder field n1B8; "mode" read from one switch. returns UFontState.n1B8, the draw mode UFont_SetMode writes (checked as above)	Returns the current draw mode	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
800128B0	UFont_CopyString	T2	E4	copies sz to UFontState.pStringNext and advances it (pStrings pool, "0x1F4 bytes of queued text"); the result goes into a queued UFontContext.szText in UFont_DrawString	Copies a string into the queued-text pool and returns the copy	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
800128F8	UFont_DrawString	T2	E4	tier corrected from E1+E4 (engine.h's "draw a string" is our comment, not EA text). Mode 1: brackets fn_80011310/fn_8001144C(pFont, pCtx, sz) with UFont_BeginDraw/UFont_EndDraw on apFonts[pCtx->nFont]; mode 0: copies the UFontContext into the pool, links it onto apQueue[nFont] with its own text copy (szText); position into f70/f74	Draws a string at (x, y) with the current settings: at once in mode 1, queued in mode 0	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012A78	UFont_DrawQueue	T2	E4	walks apFonts[i] / apQueue[i] (named), drawing each queued UFontContext through fn_8001144C between UFont_BeginDraw and UFont_EndDraw, then UFont_ResetQueues; called from gomainloop's frame functions	Draws every queued string, font by font, then empties the queues	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012BDC	UFont_GetStringWidth	T2	E3+E4	UFont_SetFont(nFont), then returns fn_80011C90(apFonts[nFont], pCtx, sz); checked LLFont.c: fn_80011C90 adds up each character's glyph advance times the scale	Returns a string's width in the given font slot (which becomes the current font)	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012C84	UFont_SetFlags_80012C84	T3	E4	T3 because placeholder field n9C read as a flag word. writes UFontContext.n9C; checked in fn_8001144C: a bit word (1/2/4 horizontal alignment, 0x100/0x200/0x400 vertical, 0x10000 the shadow)	Sets the current text settings' flag bits (alignment, shadow)	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012D04	UFont_FindFreeSlot	T2	E4	returns the first i with apFonts[i] == NULL ("NULL: a free slot"), else -1; caller uiLoadFile before loading a font	Returns the first free font slot, or -1 when all six are used	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012D88	UFont_BeginDraw	T2	E3+E5	first call fn_800111D8 (LLFont.c:242, checked: GX vertex formats, 0..1 C_MTXOrtho, saves viewport/projection with GXGetViewportv/GXGetProjectionv); UFont_DrawString and UFont_DrawQueue call it right before drawing glyphs, UFont_EndDraw right after; 0x44 bytes	Sets GX up to draw text (saving the viewport and projection)	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012DCC	UFont_EndDraw	T2	E3+E5	first call fn_800112DC (LLFont.c:265, checked: puts back the saved viewport and GXSetProjectionv); the closing bracket of UFont_BeginDraw in both draw functions; 0x34 bytes	Puts back the GX state UFont_BeginDraw changed, after the text is drawn	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012E00	UFont_CalcGradientScale_80012E00	T3	E4	T3 because placeholder fields f04/f08/f0C read as gradient stops. f0C = 1 / (f08 - f04); checked in fn_8001208C (LLFont.c): the vertex position minus f04 times f0C picks the colour between UFontStop entries (named struct, "a stop of a text colour gradient")	Computes the gradient's 1 / span (f0C), which scales a position into the 0..1 gradient	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012E54	UFont_PackColor	T2	E4	tier corrected from E1+E4 (the engine.h text is our comment). Callers write the result into UFontContext.u5C / uC8; checked: fn_8001144C sends u5C to the GX FIFO (fn_80012550, 0xCC008000) as the CLR0 vertex attribute, set up as RGBA8 by GXSetVtxAttrFmt(7, 11, 1, 5) in fn_800111D8	Packs an RGBA colour of four 0-1 floats into four bytes	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012EC4	UFont_GetContext	T2	E4	tier corrected from E1+E4 (our comment). Returns &lbl_80280DE0->ctx, UFontState.ctx "the current settings", type UFontContext	Returns the current text settings	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80101FEC	GameMode4_Init	T2	E4	stores itself in gpGame->pfnInit (golfer.h 0x1C8 "the mode's setup. TW06: Init") and fills the other slots with GameModeMatch_* handlers, like GameModeMatch_Init; called from GameRound's mode switch fn_800E0B38	Mode 4 (ladder match) starts: GameModeMatch's callbacks with this mode's own shutdown and end-game, and its player / mulligan / split-screen settings	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
801020C0	GameMode4_GetNumEventsWon	T2	E3+E4	renamed from GameMode4_GetEarningsRating: the "earnings rating" is only save.h's comment on fn_800584DC; its body (fe_craputils.c:158) counts gpSaveData[nProfile].aLadderAward[0..24].bWon (named header fields). This is that call for gPlayers[0].nIndex	Returns how many ladder events player 0's profile has won	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
801020EC	GameMode4_GetEventOpponent	T2	E4	returns lbl_802124B8[nEvent].nGolfer; checked: GameMode4_StartEvent puts that golfer in player slot 1 with Session_SetGolfer(nGolfer, 1) and CONTROLLER_CPU (LadderEvent is defined in GameMode4.c, the table's owner)	Returns the given ladder event's opponent golfer (34 = none)	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80102104	GameMode4_GetEventCourse_80102104	T3	E4	T3 because course field of a struct we named in GameMode4.c. returns lbl_802124B8[nEvent].nCourse; checked: GameMode4_StartEvent passes it to fn_800E14E0(int nCourse) (game.h), as GameMode5 does with its challenge's course	Returns the given ladder event's course	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
8010211C	GameMode4_GetEventHoles_8010211C	T3	E4	T3 because holes-preset field of a struct we named in GameMode4.c. returns lbl_802124B8[nEvent].nHoles; checked: GameMode4_StartEvent passes it to fn_800E1260 (game.h "a hole-selection preset for the round")	Returns the given ladder event's hole-selection preset	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
8010217C	GameMode4_GetEventKind_8010217C	T3	E4	T3 because "kind" is our summary of four cases. returns 0 when LadderEvent.n1C is set (StartEvent then does nothing), 1 when nChallenge is set (StartEvent routes it to mode 5), 2 for events 3, 7, 11, 15, 19, 23, 24, else 3; GameMode4_WinEvent picks its end-of-ladder / every-fourth-event messages on 2	Returns the given event's kind: 0 not played here, 1 a challenge, 2 events 3/7/11/15/19/23/24, 3 an ordinary match	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80102204	GameMode4_HasWonEvent	T2	E4	returns gpSaveData[nProfile].aLadderAward[nEvent].bWon (save.h "per ladder event (GameMode4.c)"; fn_800D7770 sets bWon); LadderMap uses it to show a won node	Returns whether the profile has won the given ladder event	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80102228	GameMode4_IsEventOpen	T2	E4	true when every nonzero LadderEvent.aNeeded[i] - 1 is won (GameMode4_HasWonEvent); LadderMap.c:78 reports won 1 / open 0 / locked 2 from these two; GameMode4_SelectEvent gates on it	Returns whether the profile has won every event this one requires, i.e. may play it	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
801022BC	GameMode4_SelectEvent	T2	E4	if GameMode4_IsEventOpen, stores nEvent in lbl_80282438 and returns 1; checked: GameMode4Menu.c:120 calls it, then GameMode4_StartEvent, which plays lbl_802124B8[lbl_80282438]	Makes the given event the one to play if the profile may play it; returns whether it did	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80102310	GameMode4_RegisterStreamClients	T1	E1+E3	renamed from GameMode4_RegisterStreams: house form from the other mode's stream set-up (GameModeDriverPGATour_RegisterStreamClients). Body is only UStream_RegisterHandler('TCM ', fn_8010237C) and ('TCMS', fn_801023A8); caller streammanagerhole	Registers the ladder's two stream loaders ('TCM ' events, 'TCMS' names)	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80102354	GameMode4_UnregisterStreamClients	T1	E1+E3	renamed from GameMode4_UnregisterStreams (house form, as GameModeDriverPGATour_UnregisterStreamClients). Body is only UStream_UnregisterHandler('TCM '); caller streammanagerhole	Unregisters the ladder-event stream loader (not the 'TCMS' one)	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
8010237C	GameMode4_LoadTCMFromStream	T2	E1+E3	renamed from GameMode4_LoadLadderEvents: house form Load<FourCC>FromStream (GameModeDriverPGATour_LoadPGAcFromStream); the 'TCM ' handler (RegisterStreamClients); body is only fn_8000E790 (engine.h "copy the data out, free the object") into lbl_802124B8	The 'TCM ' stream loader: copies the 25 ladder events into lbl_802124B8	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
801023A8	GameMode4_LoadTCMSFromStream	T2	E1+E3	renamed from GameMode4_LoadLadderNames (same house form); the 'TCMS' handler; allocates with fn_800951A0 and memcpy's the object's data into lbl_8028243C.pText, which GameMode4_GetEventName reads names from	The 'TCMS' stream loader: copies the ladder events' name text into lbl_8028243C	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80102404	GameMode4_Shutdown	T2	E4	GameMode4_Init stores it in gpGame->pfnShutdown (golfer.h 0x1CC "the mode ends. TW06: Shutdown"); GameMode4_StartEvent also chains it after a challenge's own shutdown	The mode ends: runs the challenge's own shutdown if one was saved, restores the saved session options and marks no ladder event active	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80102468	GameMode4_StartEvent	T2	E4	reads lbl_802124B8[current event] and sets up the round from its fields: a challenge (nChallenge) through fn_800E0B38(5), else Session_SetNumPlayers(2), Session_SetGolfer(nGolfer, 1), CONTROLLER_CPU, course, holes, gSession.nTeeSet / nPinSet; called by GameMode4Menu right after GameMode4_SelectEvent	Starts the selected event: a challenge through mode 5, or a two-player match against the event's pro	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
801025FC	GameMode4_EndGame	T2	E4	GameMode4_Init stores it in gpGame->pfnEndGame (golfer.h 0x1F4 "game finished. TW06: EndGame"); on gPlayers[0].nHolesWon > gPlayers[1]'s it pays fn_800D38F0's ladder winnings and calls GameMode4_WinEvent	The match ends: on a win, pays the margin's prize plus the event's base and per-hole prize, then scores the event won	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80102704	GameMode4_WinSkinsEvent_80102704	T3	E5+E4	T3 because single caller (E5); the earlier comment on it was wrong. renamed from GameMode4_EndChallengeEvent, which rested on the comment "A challenge event ended" that the pilot showed wrong. Only caller GameModeSkins_EndGame (GameMode2.c:363), when a ladder event is active and player 0 has the most skins; body (0xA0) pays fn_800D38F0 (earnings.h "a ladder event's winnings") into gPlayers[0].money and calls GameMode4_WinEvent	A ladder event played as skins was won: pays its winnings, then scores the event won	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80102874	GameMode4_WinEvent	T2	E4+E5	fn_800D7770 marks gpSaveData[nProfile].aLadderAward[nEvent] won (Earnings.c:1557 sets bWon and the date); unlocks the opponent (lbl_80282448) and reward (lbl_80282444); callers GameMode4_EndGame and GameMode4_WinSkinsEvent on a win (GameModeSkins_EndGame also on a loss, an EA bug noted there)	Scores the current event won: award flag and date, unlocks the pro and the reward, pays any pending bonus, queues the every-fourth-event / ladder-finished messages (the last also pays the ladder prize)	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80102A58	GameMode4_GetEventName	T2	E4	tier corrected from E1+E4 (no string of EA's). strcpy(szOut, lbl_8028243C.pText + lbl_802124B8[nEvent].nName): the 'TCMS' text GameMode4_LoadTCMSFromStream loads; callers in GameMode4Menu	Copies the given event's name into szOut (nothing for an index outside 0..24)	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012C54	UFont_SetWordWrap_80012C54	T3	E4	T3 because reviewer: added from unsure, check carefully (placeholder uA8). added from unsure (candidate was UFont_SetUA8). Writes UFontContext.uA8; checked LLFont.c:335: uA8 != 0 sends fn_8001144C to fn_80011D0C, which breaks the text into lines at spaces/'\n' where fn_80011C90's width passes a8C[2]; uiProcessInterface.c:125/131 sets it 1 then 0 around a draw. Field is a placeholder, evidence is the consumer's code: orchestrator please check	Turns word-wrapped drawing (into the box UFont_SetWordWrapBox sets) on or off	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
80012CB4	UFont_SetWordWrapBox_80012CB4	T3	E4	T3 because reviewer: added from unsure, check carefully (placeholder a8C). added from unsure (candidate was UFont_SetColor, which was wrong: a8C is not a colour). Writes UFontContext.a8C[0..3]; checked: its only reader fn_80011D0C (LLFont.c:592-687) uses a8C[0]/[1] as the box's corner, a8C[2] as the line width limit and a8C[1] + a8C[3] as its bottom; the fifth parameter is unused. Field is a placeholder, evidence is the consumer's code: orchestrator please check	Sets the box (x, y, width, height) word-wrapped text is fitted into	Sonnet 5 (name-sonnet)	Opus 5.5 (name-review); tiers and spot-checks by the orchestrator (Opus 5.5)	2026-09-24
